case_id,family,n,seed,oracle_valid,oracle_reason,distinct_values,upper_ok,lower_ok,algorithm,run_index,time_ns,sorted_correct,error
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,quick_sort,1,39542,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,quick_sort,2,38459,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,quick_sort,3,38333,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,quick_sort,4,38166,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,quick_sort,5,38167,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,1,371792,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,2,366917,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,3,366792,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,4,366625,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,5,366709,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,python_sort,1,1208,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,python_sort,2,958,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,python_sort,3,917,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,python_sort,4,917,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,python_sort,5,958,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,merge_sort,1,166667,True,
flat_valid_n256_001,flat_valid,256,,True,,True,True,True,merge_sort,2,165041,True,
