case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
incremental_valid_n64_004,incremental_valid,64,simplified_jordan_reference,10,584208.5,581250,590291,9041,587116.6,8872.890574979247,True,0
incremental_valid_n64_005,incremental_valid,64,python_sort,10,1417.0,1375,1458,83,1516.7,308.1587073066229,True,0
incremental_valid_n64_005,incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1218458.5,1208125,1236209,28084,1226954.3,28968.535597744285,True,0
incremental_valid_n64_005,incremental_valid,64,simplified_jordan_reference,10,572937.5,570416,586375,15959,576279.2,9273.246498515082,True,0
nested_valid_n128_001,nested_valid,128,python_sort,10,2333.0,2208,2750,542,2412.4,273.1841869508556,True,0
nested_valid_n128_001,nested_valid,128,simplified_jordan_paper_ordinary_list,10,2481146.0,2464500,2503875,39375,2483375.1,22921.76186000253,True,0
nested_valid_n128_001,nested_valid,128,simplified_jordan_reference,10,2223688.0,2207333,2234667,27334,2227096.1,23159.20555848149,True,0
nested_valid_n256_001,nested_valid,256,python_sort,10,4771.0,4250,5792,1542,4858.5,798.2968328468636,True,0
nested_valid_n256_001,nested_valid,256,simplified_jordan_paper_ordinary_list,10,6289229.0,6253583,6342500,88917,6296108.3,51789.26179999951,True,0
nested_valid_n256_001,nested_valid,256,simplified_jordan_reference,10,8525250.0,8486417,8551334,64917,8533375,61796.82475302073,True,0
nested_valid_n32_001,nested_valid,32,python_sort,10,708.0,666,750,84,712.3,63.559333609540694,True,0
nested_valid_n32_001,nested_valid,32,simplified_jordan_paper_ordinary_list,10,479937.5,478084,483750,5666,480258.5,5309.500881543491,True,0
nested_valid_n32_001,nested_valid,32,simplified_jordan_reference,10,185833.5,184875,186542,1667,185891.7,4040.7338181187943,True,0
nested_valid_n512_001,nested_valid,512,python_sort,10,10583.5,10250,10959,709,10525.1,896.9603546298898,True,0
nested_valid_n512_001,nested_valid,512,simplified_jordan_paper_ordinary_list,10,17892771.0,17779875,18061375,281500,17924700,166659.08214275833,True,0
nested_valid_n512_001,nested_valid,512,simplified_jordan_reference,10,34424645.5,34346666,34502459,155793,34434958.3,90167.07332138736,True,0
nested_valid_n64_001,nested_valid,64,python_sort,10,1167.0,1125,1459,334,1396,470.6076450245529,True,0
nested_valid_n64_001,nested_valid,64,simplified_jordan_paper_ordinary_list,10,1057604.5,1051667,1073667,22000,1064925.1,18047.454461625453,True,0
nested_valid_n64_001,nested_valid,64,simplified_jordan_reference,10,612208.5,606292,621125,14833,615987.4,13077.821719741149,True,0
